month,product_name,market_sales_value,market_sales_units,competitor_name,region,data_source
2023-07,AllerSafe,638177.3,6606,AstraZeneca,Gulf,IQVIA
2023-07,AllerSafe,1246513.78,16973,Novartis,North,Distributor Panel
2023-07,ALLERSAFE,790337.89,6841,Sanofi,West,Distributor Panel
2023-07,AllerSafe,996665.96,12848,AstraZeneca,East,Third Party Estimate
2023-07,AllerSafe,1186971.07,9467,Local Generic,South,Third Party Estimate
2023-07,AllerSafe Plus ,718298.69,7374,AstraZeneca,North,IQVIA
2023-07,ALLERSAFE PLUS,658654.0,5110,AstraZeneca,Gulf,IQVIA
2023-07,AllerSafe Plus ,1687159.94,17306,Novartis,East,IQVIA
2023-07,AllerSafe Plus,1182342.81,8847,Sanofi,Central,Local Market Audit
2023-07,AllerSafe Plus ,778928.2,14223,AstraZeneca,South,Local Market Audit
2023-07,Neuroton OD ,588345.31,7685,Local Generic,South,Local Market Audit
2023-07,Neuroton OD ,846202.04,7581,Pfizer,Gulf,Third Party Estimate
2023-07,NeurotonOD,929870.36,7031,Sanofi,West,Local Market Audit
2023-07,NeurotonOD,416001.92,6567,Sanofi,North,IQVIA
2023-08,CARDIOSTAT,543676.27,3963,AstraZeneca,East,Distributor Panel
2023-08,Cardiostat,354366.57,4107,AbbVie,Central,IQVIA
2023-08,Cardiostat,757320.38,12010,Local Generic,West,Third Party Estimate
2023-08,CARDIOSTAT,505325.0,4155,Sanofi,Gulf,Third Party Estimate
2023-08,Cardiostat,805834.67,6083,Local Generic,South,IQVIA
2023-08,Cardiostat XR ,839542.87,14705,Local Generic,Central,Third Party Estimate
2023-08,CardiostatXR,1032824.65,16785,AbbVie,East,IQVIA
2023-08,CardiostatXR,732381.54,8532,AbbVie,West,Third Party Estimate
2023-08,CARDIOSTAT XR,1142947.65,12216,Local Generic,South,IQVIA
2023-08,CardiostatXR,936913.05,8912,Pfizer,Gulf,Local Market Audit
2023-08,GlucoFree,986183.59,9568,AbbVie,South,Third Party Estimate
2023-08,GlucoFree ,1704871.29,15055,AbbVie,Gulf,Third Party Estimate
2023-08,GlucoFree,795436.97,7210,AbbVie,Central,Local Market Audit
2023-08,GlucoFree ,865003.95,7785,Pfizer,North,Local Market Audit
2023-08,GlucoFree ,921176.09,15974,Local Generic,East,Distributor Panel
2023-08,GLUCOFREE XR,1635432.5,18636,Local Generic,Central,Distributor Panel
2023-08,GLUCOFREE XR,1690369.75,18568,Sanofi,Gulf,Third Party Estimate
2023-08,GlucoFreeXR,389802.3,5794,Sanofi,West,IQVIA
2023-08,GLUCOFREE XR,460413.91,5657,Local Generic,East,Local Market Audit
2023-08,GlucoFree XR ,384232.37,5027,AbbVie,South,IQVIA
2023-08,GlucoFree XR,691508.51,8433,AstraZeneca,North,Third Party Estimate
2023-08,Bronchion,960817.13,11120,AbbVie,North,Distributor Panel
2023-08,BRONCHION,1356998.65,16269,AbbVie,East,Local Market Audit
2023-08,Bronchion,1930518.16,14719,Pfizer,Central,Third Party Estimate
2023-08,Bronchion,446870.58,7177,AbbVie,South,Distributor Panel
2023-08,Bronchion ,580666.33,7535,Sanofi,West,Third Party Estimate
2023-08,Bronchion,833029.62,9289,Sanofi,Gulf,Local Market Audit
2023-08,BRONCHION COLD,347561.83,7405,Novartis,Gulf,Local Market Audit
2023-08,BRONCHION COLD,1256759.58,12749,AbbVie,North,Distributor Panel
2023-08,Bronchion Cold,1663314.93,16218,Novartis,Central,Distributor Panel
2023-08,Immunex ,1986257.78,14602,Local Generic,Central,Local Market Audit
2023-08,IMMUNEX,687049.37,5545,Pfizer,North,Distributor Panel
2023-08,Immunex,2373993.93,19535,Sanofi,East,Third Party Estimate
2023-08,ImmunexJunior,1538311.12,17849,Local Generic,North,Third Party Estimate
2023-08,ImmunexJunior,869447.73,14084,AstraZeneca,Central,Third Party Estimate
2023-08,ImmunexJunior,1332626.58,11644,Sanofi,East,Local Market Audit
2023-08,Immunex Junior ,1482085.85,20729,Novartis,Gulf,Third Party Estimate
2023-08,Immunex Junior,1148960.51,14184,AbbVie,South,Distributor Panel
2023-08,GastroEase,922436.77,9076,AstraZeneca,West,IQVIA
2023-08,GastroEase ,782652.5,14730,AbbVie,South,Local Market Audit
2023-08,GastroEase ,1753346.45,15568,Pfizer,East,IQVIA
2023-08,GastroEase,905798.52,8181,Local Generic,Central,Distributor Panel
2023-08,GASTROEASE DSR,1160195.86,15651,Pfizer,Central,Local Market Audit
2023-08,GASTROEASE DSR,784232.17,8177,Novartis,Gulf,Local Market Audit
2023-08,GastroEaseDSR,1868497.13,16414,Pfizer,East,Local Market Audit
2023-08,GastroEase DSR,510584.32,8229,Local Generic,South,Local Market Audit
2023-08,GastroEaseDSR,369073.69,7355,Local Generic,West,Local Market Audit
2023-08,GastroEase DSR,1527896.58,16674,AstraZeneca,North,Distributor Panel
2023-08,AllerSafe ,538960.27,10525,Pfizer,West,IQVIA
2023-08,AllerSafe,576048.11,5850,Pfizer,Gulf,Local Market Audit
2023-08,ALLERSAFE,524887.33,6209,AstraZeneca,East,Third Party Estimate
2023-08,AllerSafe ,973619.69,13292,Sanofi,North,IQVIA
2023-08,ALLERSAFE,902947.08,16590,Local Generic,Central,Local Market Audit
2023-08,ALLERSAFE,539942.94,9011,AstraZeneca,South,IQVIA
2023-08,AllerSafePlus,669899.65,13927,Local Generic,North,Distributor Panel
2023-08,ALLERSAFE PLUS,924315.41,17857,Sanofi,West,Local Market Audit
2023-08,ALLERSAFE PLUS,647643.32,9760,Sanofi,Central,Local Market Audit
2023-08,AllerSafePlus,541469.01,4501,AbbVie,East,IQVIA
2023-08,NeurotonOD,729316.82,5632,AstraZeneca,Gulf,Distributor Panel
2023-08,Neuroton OD,531888.06,3900,Local Generic,East,Distributor Panel
2023-08,Neuroton OD ,1357044.09,11614,AstraZeneca,West,Third Party Estimate
2023-08,Neuroton OD ,786439.56,7817,Pfizer,South,Third Party Estimate
2023-08,Neuroton OD,727145.65,9631,Novartis,Central,Distributor Panel
2023-08,Neuroton OD ,849749.31,11740,AstraZeneca,North,IQVIA
2023-09,Cardiostat ,638522.87,14155,AbbVie,North,IQVIA
2023-09,Cardiostat ,759775.84,7295,Local Generic,East,Third Party Estimate
2023-09,CARDIOSTAT,1004888.49,14280,Sanofi,Central,Third Party Estimate
2023-09,CARDIOSTAT,751611.71,15743,Local Generic,South,Local Market Audit
2023-09,Cardiostat,923957.62,9480,Novartis,Gulf,IQVIA
2023-09,CARDIOSTAT,1454913.27,13657,AbbVie,West,Distributor Panel
2023-09,CARDIOSTAT XR,740635.31,11736,Pfizer,West,Distributor Panel
2023-09,CardiostatXR,1584216.9,18766,Pfizer,Gulf,Distributor Panel
2023-09,Cardiostat XR ,1528616.06,15171,Novartis,Central,Third Party Estimate
2023-09,Cardiostat XR ,1001230.4,13074,AbbVie,North,Distributor Panel
2023-09,Cardiostat XR ,572628.02,8460,Novartis,South,Third Party Estimate
2023-09,GLUCOFREE,1485185.31,12348,AbbVie,East,IQVIA
2023-09,GlucoFree,629041.88,6224,AbbVie,West,IQVIA
2023-09,GLUCOFREE,684977.07,14744,AbbVie,Central,Local Market Audit
2023-09,GlucoFreeXR,1656946.1,15524,Local Generic,West,Third Party Estimate
2023-09,GlucoFree XR ,1270438.08,9825,AstraZeneca,East,IQVIA
2023-09,GlucoFreeXR,1294790.22,12336,Novartis,Central,IQVIA
2023-09,Bronchion,230467.14,4579,Sanofi,North,Third Party Estimate
2023-09,BRONCHION,502513.44,5972,Novartis,Gulf,Local Market Audit
2023-09,BRONCHION,457791.13,5628,AbbVie,West,Local Market Audit
2023-09,Bronchion,545556.97,7892,Local Generic,Central,IQVIA
2023-09,BRONCHION,1258672.12,17403,Pfizer,South,Third Party Estimate
2023-09,Bronchion ,848070.42,11551,Local Generic,East,Distributor Panel
2023-09,BronchionCold,1071971.97,10762,Pfizer,East,Third Party Estimate
2023-09,Bronchion Cold,921556.44,7246,AstraZeneca,South,Third Party Estimate
2023-09,BRONCHION COLD,1485782.56,20582,AstraZeneca,West,Distributor Panel
2023-09,BRONCHION COLD,846435.14,8140,Local Generic,Central,IQVIA
2023-09,Bronchion Cold ,1142589.65,15368,Pfizer,North,Distributor Panel
2023-09,BronchionCold,1883697.48,14334,Local Generic,Gulf,Third Party Estimate
2023-09,Immunex,1771077.58,14295,AbbVie,South,Distributor Panel
2023-09,Immunex ,2275075.19,18740,Pfizer,Gulf,Local Market Audit
2023-09,Immunex ,2462674.09,19435,AstraZeneca,East,Distributor Panel
2023-09,Immunex,285947.39,6173,AbbVie,West,Distributor Panel
2023-09,ImmunexJunior,1298795.26,10068,AstraZeneca,Central,Local Market Audit
2023-09,ImmunexJunior,1570658.66,12742,Local Generic,West,Third Party Estimate
2023-09,ImmunexJunior,716696.31,5313,AbbVie,East,IQVIA
2023-09,Immunex Junior ,500700.83,5212,AbbVie,North,Distributor Panel
2023-09,Immunex Junior ,1969416.49,17716,AstraZeneca,Gulf,Local Market Audit
2023-09,GastroEase ,324986.71,4951,Novartis,Gulf,Distributor Panel
2023-09,GastroEase,536427.26,6714,Pfizer,North,Third Party Estimate
2023-09,GastroEase ,441973.19,7808,Pfizer,West,Local Market Audit
2023-09,GastroEase,2138964.23,15584,Sanofi,East,Local Market Audit
2023-09,GASTROEASE,440046.18,6823,AstraZeneca,South,Local Market Audit
2023-09,GASTROEASE,1523882.09,19995,AstraZeneca,Central,IQVIA
2023-09,GastroEaseDSR,983729.39,17102,Novartis,South,Distributor Panel
2023-09,GastroEase DSR ,193814.32,3878,AstraZeneca,Gulf,IQVIA
2023-09,GastroEaseDSR,1238818.44,14144,AstraZeneca,East,IQVIA
2023-09,GastroEase DSR,1578003.56,11705,Local Generic,North,Distributor Panel
2023-09,GastroEase DSR ,593160.76,12368,AbbVie,West,Third Party Estimate
2023-09,ALLERSAFE,302785.94,5124,Sanofi,West,Distributor Panel
2023-09,AllerSafe ,1170402.77,12268,AstraZeneca,Gulf,Third Party Estimate
2023-09,ALLERSAFE,354267.47,6341,AbbVie,North,Third Party Estimate
2023-09,AllerSafePlus,892869.28,11954,Local Generic,West,Distributor Panel
2023-09,AllerSafe Plus ,1322204.24,11993,Pfizer,East,IQVIA
2023-09,AllerSafePlus,1334212.43,15509,Novartis,Gulf,IQVIA
2023-09,AllerSafe Plus,1585857.01,16123,AbbVie,South,Distributor Panel
2023-09,Neuroton OD ,390869.86,5994,Novartis,Gulf,IQVIA
2023-09,NeurotonOD,891568.55,11156,AstraZeneca,North,Local Market Audit
2023-09,Neuroton OD,1693370.13,17228,AstraZeneca,East,Distributor Panel
2023-09,NeurotonOD,456524.83,4085,Sanofi,West,Distributor Panel
2023-09,Neuroton OD ,219490.3,3745,Pfizer,South,Local Market Audit
2023-09,NEUROTON OD,828645.38,17295,AbbVie,Central,Third Party Estimate
2023-10,Cardiostat,512887.51,4396,Local Generic,East,IQVIA
2023-10,Cardiostat ,724977.21,8501,AbbVie,South,Distributor Panel
2023-10,Cardiostat ,468324.06,8391,Pfizer,Gulf,Distributor Panel
2023-10,Cardiostat,1499093.19,16432,Pfizer,Central,Local Market Audit
2023-10,CARDIOSTAT,628156.03,12512,Sanofi,West,Local Market Audit
2023-10,Cardiostat,1030940.92,14882,Pfizer,North,IQVIA
2023-10,CardiostatXR,1383031.81,12751,Pfizer,Gulf,Third Party Estimate
2023-10,Cardiostat XR,653616.39,13972,Sanofi,West,Third Party Estimate
2023-10,CardiostatXR,1405202.73,13280,Pfizer,South,Third Party Estimate
2023-10,Cardiostat XR ,316268.25,5157,Local Generic,North,Distributor Panel
2023-10,Cardiostat XR ,300501.09,5458,AstraZeneca,Central,Third Party Estimate
2023-10,CardiostatXR,1410061.41,11042,Novartis,East,Distributor Panel
2023-10,GlucoFree,1346530.67,11340,Local Generic,North,Local Market Audit
2023-10,GLUCOFREE,483347.31,6973,AstraZeneca,Central,Local Market Audit
2023-10,GlucoFree ,957526.86,18358,AbbVie,Gulf,Third Party Estimate
2023-10,GlucoFree,1754372.09,17788,Local Generic,East,Distributor Panel
2023-10,GlucoFree XR,974840.91,13712,Sanofi,West,IQVIA
2023-10,GlucoFreeXR,446383.01,9190,Sanofi,North,IQVIA
2023-10,GlucoFree XR ,2118775.67,16782,AbbVie,Gulf,IQVIA
2023-10,GLUCOFREE XR,1318702.77,13279,Sanofi,South,Third Party Estimate
2023-10,Bronchion,1469242.82,13811,Novartis,North,Third Party Estimate
2023-10,Bronchion,1191226.41,11573,Sanofi,West,Distributor Panel
2023-10,Bronchion,792663.63,10275,Local Generic,Gulf,Distributor Panel
2023-10,Bronchion ,480525.89,4903,Sanofi,South,Distributor Panel
2023-10,Bronchion Cold ,1202083.66,10795,Novartis,East,IQVIA
2023-10,BronchionCold,1006660.69,9485,Novartis,North,IQVIA
2023-10,Bronchion Cold,1475920.73,15818,Sanofi,South,Distributor Panel
2023-10,Bronchion Cold ,637068.65,8224,Novartis,West,Local Market Audit
2023-10,Immunex,1714847.4,13792,Local Generic,South,Distributor Panel
2023-10,IMMUNEX,1795886.45,17652,Novartis,North,Local Market Audit
2023-10,IMMUNEX,2008639.8,19249,Local Generic,East,Third Party Estimate
2023-10,IMMUNEX,511857.23,4685,AbbVie,Central,Distributor Panel
2023-10,Immunex Junior ,1081367.66,10902,AbbVie,South,Distributor Panel
2023-10,IMMUNEX JUNIOR,1566820.39,16474,Novartis,Central,Local Market Audit
2023-10,ImmunexJunior,637221.81,7029,AstraZeneca,Gulf,IQVIA
2023-10,ImmunexJunior,2258068.16,17941,Pfizer,West,Local Market Audit
2023-10,Immunex Junior ,799845.39,8530,Pfizer,East,Local Market Audit
2023-10,Immunex Junior,1370014.77,17517,AbbVie,North,IQVIA
2023-10,GastroEase,880894.7,6602,Novartis,Central,Local Market Audit
2023-10,GASTROEASE,544468.86,4397,Local Generic,East,Third Party Estimate
2023-10,GastroEase,1584472.62,12090,Sanofi,South,Local Market Audit
2023-10,GastroEase ,2142830.33,15953,Pfizer,West,Distributor Panel
2023-10,GastroEase ,373502.93,7540,Local Generic,North,Third Party Estimate
2023-10,GastroEase,585389.64,4469,Local Generic,Gulf,Local Market Audit
2023-10,GastroEase DSR,772667.35,9136,AstraZeneca,East,Distributor Panel
2023-10,GastroEase DSR,584574.36,6046,AbbVie,West,Third Party Estimate
2023-10,GastroEaseDSR,698456.46,5054,Local Generic,North,IQVIA
2023-10,GastroEase DSR,862316.67,11090,AstraZeneca,Gulf,Distributor Panel
2023-10,AllerSafe ,861981.26,7833,Local Generic,North,Local Market Audit
2023-10,AllerSafe ,1753797.76,15517,Pfizer,East,Distributor Panel
2023-10,AllerSafe,404033.79,6318,Sanofi,Central,Distributor Panel
2023-10,AllerSafe ,1507649.1,12311,Sanofi,West,IQVIA
2023-10,AllerSafe Plus ,1079246.51,8924,AbbVie,East,Third Party Estimate
2023-10,AllerSafe Plus ,628103.83,10010,Sanofi,Gulf,Distributor Panel
2023-10,AllerSafe Plus ,1284349.05,15052,AstraZeneca,North,Local Market Audit
2023-10,AllerSafePlus,674809.07,12326,Local Generic,Central,Distributor Panel
2023-10,NeurotonOD,1120173.24,9822,AstraZeneca,West,Third Party Estimate
2023-10,Neuroton OD,1096737.34,9125,Pfizer,Central,Third Party Estimate
2023-10,NEUROTON OD,1190998.2,10246,Pfizer,Gulf,Local Market Audit
2023-10,Neuroton OD,2268248.72,19025,Novartis,North,IQVIA
2023-10,Neuroton OD ,704564.84,8829,AstraZeneca,South,IQVIA
2023-11,Cardiostat,1253188.19,12592,AbbVie,Gulf,Distributor Panel
2023-11,Cardiostat,1890188.0,13873,Local Generic,West,Local Market Audit
2023-11,Cardiostat,1654711.77,12556,Sanofi,East,Distributor Panel
2023-11,Cardiostat,2182802.74,15630,Local Generic,South,Third Party Estimate
2023-11,Cardiostat XR,694007.51,7951,Local Generic,North,Distributor Panel
2023-11,CardiostatXR,742772.29,14516,Sanofi,South,Local Market Audit
2023-11,CARDIOSTAT XR,1918381.31,17202,Sanofi,Gulf,Local Market Audit
2023-11,CARDIOSTAT XR,860241.59,7154,AbbVie,Central,IQVIA
2023-11,GlucoFree ,833363.59,16262,Local Generic,Central,Third Party Estimate
2023-11,GlucoFree,1051470.89,12533,Novartis,Gulf,Distributor Panel
2023-11,GlucoFree,1135491.35,12722,Novartis,East,Local Market Audit
2023-11,GlucoFree,1696059.02,19699,Pfizer,South,Local Market Audit
2023-11,GLUCOFREE,616721.39,8152,Sanofi,North,Distributor Panel
2023-11,GlucoFree XR,668291.49,6465,AstraZeneca,East,Local Market Audit
2023-11,GlucoFreeXR,963620.8,16155,AstraZeneca,South,IQVIA
2023-11,GlucoFreeXR,1064234.06,20188,Local Generic,Gulf,Local Market Audit
2023-11,Bronchion ,2034671.95,16719,Sanofi,Central,Third Party Estimate
2023-11,Bronchion ,510209.98,8501,AbbVie,North,Third Party Estimate
2023-11,Bronchion,625897.07,10672,Local Generic,West,Distributor Panel
2023-11,Bronchion,1134928.86,14151,Sanofi,East,Local Market Audit
2023-11,BRONCHION,1367599.6,15592,Pfizer,South,IQVIA
2023-11,Bronchion ,1970743.84,15506,Novartis,Gulf,Local Market Audit
2023-11,Bronchion Cold ,2428751.84,18899,Pfizer,Central,IQVIA
2023-11,BRONCHION COLD,2200857.84,16084,AstraZeneca,East,Distributor Panel
2023-11,Bronchion Cold ,574449.33,6243,Sanofi,South,IQVIA
2023-11,BronchionCold,1374173.25,23806,Local Generic,North,Distributor Panel
2023-11,Bronchion Cold,1210365.17,24552,AstraZeneca,West,Local Market Audit
2023-11,Immunex,3188280.61,25836,Novartis,Central,IQVIA
2023-11,Immunex,2133201.73,15375,Novartis,East,Local Market Audit
2023-11,Immunex,1978825.81,21391,Pfizer,North,Local Market Audit
2023-11,Immunex ,2047539.54,22749,Novartis,South,Local Market Audit
2023-11,Immunex ,1244279.42,16533,AstraZeneca,Gulf,Distributor Panel
2023-11,Immunex Junior,1604999.45,20064,AbbVie,Central,Distributor Panel
2023-11,Immunex Junior,3808634.1,29790,AstraZeneca,Gulf,Third Party Estimate
2023-11,IMMUNEX JUNIOR,1776909.96,14885,Local Generic,West,IQVIA
2023-11,Immunex Junior ,1963256.1,20709,Novartis,East,Local Market Audit
2023-11,IMMUNEX JUNIOR,793786.15,7116,Pfizer,South,Third Party Estimate
2023-11,GastroEase ,1133685.3,10997,Local Generic,West,IQVIA
2023-11,GastroEase,904470.52,13980,Local Generic,South,Third Party Estimate
2023-11,GastroEase ,1682257.81,12380,AstraZeneca,Gulf,Distributor Panel
2023-11,GastroEase,1492610.18,12613,AstraZeneca,East,Third Party Estimate
2023-11,GastroEase,605867.01,8473,Novartis,North,Distributor Panel
2023-11,GastroEaseDSR,1359432.85,10162,Sanofi,Gulf,IQVIA
2023-11,GastroEase DSR ,1180149.78,14557,Sanofi,South,Local Market Audit
2023-11,GastroEase DSR,1028071.12,7573,Sanofi,West,Third Party Estimate
2023-11,GASTROEASE DSR,1254322.64,13858,AstraZeneca,Central,Distributor Panel
2023-11,GASTROEASE DSR,838401.24,14445,Novartis,East,IQVIA
2023-11,ALLERSAFE,934735.06,10400,Pfizer,Gulf,Local Market Audit
2023-11,AllerSafe ,1479993.33,11503,AbbVie,South,Local Market Audit
2023-11,AllerSafe,1468914.15,19453,Pfizer,North,Local Market Audit
2023-11,AllerSafe,1780061.84,14152,Novartis,West,Third Party Estimate
2023-11,AllerSafe Plus,2567590.55,19309,Pfizer,North,Distributor Panel
2023-11,AllerSafePlus,1880296.52,14116,Sanofi,West,Third Party Estimate
2023-11,ALLERSAFE PLUS,1387006.23,15089,AstraZeneca,Central,Third Party Estimate
2023-11,ALLERSAFE PLUS,432855.91,7771,Local Generic,Gulf,Third Party Estimate
2023-11,NEUROTON OD,1762758.77,16162,Novartis,Gulf,Third Party Estimate
2023-11,Neuroton OD ,1335952.65,17543,Local Generic,South,IQVIA
2023-11,NEUROTON OD,757833.71,8387,Pfizer,North,Distributor Panel
2023-11,NeurotonOD,1118143.39,9589,Sanofi,East,IQVIA
2023-11,Neuroton OD,990335.92,8937,Local Generic,Central,IQVIA
2023-12,CARDIOSTAT,1236519.78,16932,Novartis,East,Local Market Audit
2023-12,Cardiostat,1240760.22,10693,AbbVie,South,Third Party Estimate
2023-12,CARDIOSTAT,1841079.46,17033,Novartis,West,IQVIA
2023-12,Cardiostat,1419363.39,12689,AstraZeneca,Gulf,IQVIA
2023-12,CARDIOSTAT,746983.23,5712,AstraZeneca,Central,Local Market Audit
2023-12,Cardiostat,609939.17,6459,Local Generic,North,Local Market Audit
2023-12,Cardiostat XR ,1217457.37,12351,Local Generic,North,Distributor Panel
2023-12,Cardiostat XR,940274.51,13593,Local Generic,Central,Local Market Audit
2023-12,Cardiostat XR,1005794.27,11798,AstraZeneca,West,IQVIA
2023-12,CardiostatXR,550850.51,6131,AbbVie,Gulf,Local Market Audit
2023-12,Cardiostat XR ,1578048.91,14895,Sanofi,South,Third Party Estimate
2023-12,Cardiostat XR ,1717840.78,13099,Pfizer,East,Local Market Audit
2023-12,GlucoFree,2360734.24,18991,Sanofi,North,Third Party Estimate
2023-12,GlucoFree ,1412608.8,16562,Novartis,South,Local Market Audit
2023-12,GlucoFree,798145.55,11212,Pfizer,West,Third Party Estimate
2023-12,GlucoFree,2029265.45,15736,Novartis,East,Local Market Audit
2023-12,GlucoFree,217624.89,4516,Novartis,Gulf,IQVIA
2023-12,GlucoFreeXR,1018654.55,8897,AstraZeneca,West,Distributor Panel
2023-12,GLUCOFREE XR,441389.96,7531,AbbVie,South,Distributor Panel
2023-12,GLUCOFREE XR,1001566.16,7413,Local Generic,Central,Third Party Estimate
2023-12,GlucoFree XR ,1842648.62,13414,AstraZeneca,North,Distributor Panel
2023-12,GlucoFree XR ,907814.0,15341,Novartis,East,Third Party Estimate
2023-12,GLUCOFREE XR,670810.89,9118,AbbVie,Gulf,IQVIA
2023-12,Bronchion ,557569.14,10618,Sanofi,West,IQVIA
2023-12,Bronchion,1334285.9,21147,AbbVie,Central,IQVIA
2023-12,BRONCHION,837019.79,7132,AbbVie,South,Local Market Audit
2023-12,BRONCHION,1781166.28,13560,Novartis,Gulf,IQVIA
2023-12,BRONCHION,2644426.96,29221,Local Generic,North,Local Market Audit
2023-12,Bronchion,1795763.13,18428,AbbVie,East,Third Party Estimate
2023-12,Bronchion Cold ,2133645.01,15436,Sanofi,East,Local Market Audit
2023-12,BRONCHION COLD,715325.0,14497,Local Generic,Gulf,Local Market Audit
2023-12,Bronchion Cold ,805622.05,6021,Sanofi,Central,Local Market Audit
2023-12,BRONCHION COLD,847092.68,10447,AbbVie,West,Distributor Panel
2023-12,Bronchion Cold ,1258656.85,13768,AbbVie,South,Local Market Audit
2023-12,Immunex,2040596.94,16268,Pfizer,South,Third Party Estimate
2023-12,IMMUNEX,719163.55,10736,Pfizer,Gulf,Local Market Audit
2023-12,Immunex ,944018.33,18604,Local Generic,West,Third Party Estimate
2023-12,Immunex,530084.2,5442,Pfizer,North,Distributor Panel
2023-12,Immunex ,1065322.41,22847,Novartis,East,IQVIA
2023-12,ImmunexJunior,788645.24,11433,Sanofi,Central,Third Party Estimate
2023-12,IMMUNEX JUNIOR,650696.29,7786,Local Generic,South,Local Market Audit
2023-12,Immunex Junior,1828723.06,14566,Pfizer,Gulf,Third Party Estimate
2023-12,GastroEase,473096.91,5487,AstraZeneca,West,IQVIA
2023-12,GastroEase ,990722.39,14825,Sanofi,Central,IQVIA
2023-12,GastroEase,407247.46,5685,Novartis,Gulf,Distributor Panel
2023-12,GastroEase ,508779.8,5049,Pfizer,North,Distributor Panel
2023-12,GastroEase ,689480.72,6976,Local Generic,East,Distributor Panel
2023-12,GastroEase,668355.69,11465,AstraZeneca,South,Distributor Panel
2023-12,GastroEase DSR ,1593735.53,15550,Sanofi,North,IQVIA
2023-12,GastroEase DSR ,1895396.02,13607,Novartis,West,Distributor Panel
2023-12,GastroEase DSR ,1324965.6,15402,Pfizer,South,Distributor Panel
2023-12,ALLERSAFE,766397.34,6415,Local Generic,Gulf,Third Party Estimate
2023-12,AllerSafe,481585.44,8969,AbbVie,North,Distributor Panel
2023-12,ALLERSAFE,895899.09,15557,AbbVie,Central,Third Party Estimate
2023-12,AllerSafe,1147904.55,13704,Pfizer,South,Distributor Panel
2023-12,AllerSafe Plus,742619.71,8808,Local Generic,Central,Local Market Audit
2023-12,ALLERSAFE PLUS,1519779.58,13803,Novartis,Gulf,Distributor Panel
2023-12,ALLERSAFE PLUS,496339.63,8432,AbbVie,East,Distributor Panel
